acct_id,dsply_nm,type,acct_stat,acct_rptng_crncy,prior_sar_count,branch_id,open_dt,close_dt,initial_deposit,tx_behavior_id,bank_id,first_name,last_name,street_addr,city,state,country,zip,gender,birth_date,ssn,lon,lat
0,C_0,I,A,USD,false,1,0,1000000,96646.86,,bank,Steven,Collins,48764 Howard Forge Apt. 421,Vanessaside,VT,US,79393,Male,1994-11-10,871-88-5410,73.479690,60.2738415
1,C_1,I,A,USD,false,1,0,1000000,80707.36,,bank,Ronald,Cook,9387 Grimes Green Apt. 801,Pagetown,RI,US,65195,Male,1994-11-29,721-09-3131,124.680009,-30.4868135
2,C_2,I,A,USD,false,1,0,1000000,52101.10,,bank,Robin,Fernandez,711 Golden Overpass,West Andreaville,OH,US,44115,Female,2022-01-01,618-71-9628,-25.565183,29.450832
3,C_3,I,A,USD,false,1,0,1000000,90324.40,,bank,Steven,Leblanc,9342 Lori Bypass Suite 711,East Sandra,MP,US,11019,Male,1972-11-27,401-91-8595,-32.020057,50.066962
4,C_4,I,A,USD,false,1,0,1000000,91267.86,,bank,Lorraine,Bruce,969 Hayes Shore,Christopherville,NM,US,77450,Female,1938-05-23,750-35-1920,-61.641150,9.8741475
5,C_5,I,A,USD,false,1,0,1000000,77717.44,,bank,Alison,Woodward,0123 Lisa Roads Apt. 013,South Christopherville,AZ,US,79865,Female,1931-08-28,127-62-3451,-147.205300,-83.884349
6,C_6,I,A,USD,false,1,0,1000000,69099.23,,bank,Curtis,Howard,1314 Graham Circle,Williamsville,UT,US,51786,Male,1995-01-24,859-73-2776,-70.792574,-74.4170695
7,C_7,I,A,USD,false,1,0,1000000,97479.13,,bank,Sylvia,Banks,58419 Wade Bridge,Maldonadoshire,VI,US,67164,Female,1955-04-13,674-33-2514,120.969950,-86.6616515
8,C_8,I,A,USD,true,1,0,1000000,98752.44,,bank,Sarah,Anderson,0842 Kathleen Orchard,Chelseastad,OR,US,83567,Female,1946-03-11,767-54-1323,-179.181691,69.6055285
9,C_9,I,A,USD,true,1,0,1000000,88834.29,,bank,Susan,Munoz,33769 Johnson Well Suite 027,West Jacquelinemouth,NC,US,64367,Female,1910-03-16,040-64-5341,-12.465005,35.330430
10,C_10,I,A,USD,false,1,0,1000000,92168.76,,bank,Diana,Good,81206 Stewart Forest Apt. 089,East Davidborough,VI,US,40139,Female,1921-10-26,875-51-1333,-168.271786,-16.257066
11,C_11,I,A,USD,false,1,0,1000000,81167.91,,bank,Charles,Nelson,559 Meghan Squares Suite 765,East Nicholas,LA,US,01667,Male,1949-05-08,377-92-1536,1.599791,76.574431
12,C_12,I,A,USD,false,1,0,1000000,73205.69,,bank,Brian,Hoffman,29456 Kelly Neck Apt. 042,West Richardmouth,ME,US,54859,Male,1966-01-05,346-44-2037,77.207619,-58.859323
13,C_13,I,A,USD,false,1,0,1000000,98213.62,,bank,Kristie,Roberts,45229 Drake Route Apt. 113,North Paul,CT,US,52118,Female,2016-12-07,808-75-3560,47.116838,-67.5418185
14,C_14,I,A,USD,false,1,0,1000000,55914.61,,bank,Zachary,Salinas,263 Wilson View Apt. 873,South Raymondborough,SD,US,06019,Male,1982-07-07,108-26-7511,22.954365,7.077560
15,C_15,I,A,USD,false,1,0,1000000,55743.03,,bank,Shaun,Daniels,97296 Rich Park,Marthafort,SC,US,88328,Male,2018-03-25,010-44-5215,-7.221577,-80.4790615
16,C_16,I,A,USD,false,1,0,1000000,50963.87,,bank,Peter,West,269 Robbins Valley Suite 118,North Jeffreyton,ME,US,02504,Male,2010-03-06,820-20-7549,19.351908,45.559823
17,C_17,I,A,USD,false,1,0,1000000,93010.16,,bank,Samantha,Olson,189 Julie Throughway,West Amanda,PA,US,55268,Female,2001-12-16,398-78-9608,-54.602474,-84.501964
18,C_18,I,A,USD,false,1,0,1000000,92937.23,,bank,Janet,Reyes,248 Cook Park,Sherriport,WI,US,53987,Female,1929-03-13,131-31-4704,-0.671881,-75.094574
19,C_19,I,A,USD,false,1,0,1000000,78765.19,,bank,Luis,Soto,6097 Ellis Courts,Osbornetown,AZ,US,78921,Male,1922-05-31,563-84-5680,-75.324336,12.9219315
20,C_20,I,A,USD,false,1,0,1000000,72409.24,,bank,Jill,Sherman,09795 Tara Station Suite 264,New Michelleborough,AZ,US,51884,Female,1963-01-12,809-81-1235,-156.033598,-79.2677695
21,C_21,I,A,USD,false,1,0,1000000,93546.54,,bank,Steven,Henderson,993 Clayton Viaduct,Hunterville,FL,US,56333,Male,1919-12-12,108-54-1031,-126.736506,21.444052
22,C_22,I,A,USD,false,1,0,1000000,94007.32,,bank,Haley,Thompson,6607 Sharp Common,Chadstad,UT,US,04351,Female,2006-07-05,237-47-1156,140.291297,-51.5355765
23,C_23,I,A,USD,false,1,0,1000000,99168.24,,bank,Karen,Zimmerman,104 Norris Rapids,Port Donald,NH,US,15232,Female,1940-02-25,029-27-5935,-0.141177,37.069399
24,C_24,I,A,USD,true,1,0,1000000,53332.53,,bank,Clinton,Watson,89426 Sonya Unions,West William,IA,US,99441,Male,1987-02-16,882-17-9851,-168.967506,15.7101975
25,C_25,I,A,USD,false,1,0,1000000,98268.42,,bank,Anthony,Ortiz,64862 Evans Knoll,East Seanstad,SC,US,69865,Male,1958-08-06,746-42-7231,-70.483556,9.749696
26,C_26,I,A,USD,false,1,0,1000000,55712.15,,bank,Brenda,Ford,21418 Laura Mission Suite 266,East Susan,MA,US,69097,Female,1984-02-15,495-97-3337,-21.768934,-89.505231
27,C_27,I,A,USD,false,1,0,1000000,73519.93,,bank,Kathleen,Woodward,703 Wilson Roads Suite 892,Mccarthyfort,CO,US,89391,Female,1973-04-09,416-36-0355,-115.129021,-17.5013805
28,C_28,I,A,USD,false,1,0,1000000,69375.75,,bank,Amanda,Sparks,46896 Garcia Glen,Justinborough,PA,US,11676,Female,1945-08-25,349-16-8687,-46.293888,-46.096104
29,C_29,I,A,USD,false,1,0,1000000,85092.23,,bank,Michael,James,8298 Amanda Loop Suite 447,Ashleyberg,GA,US,16661,Male,1978-10-05,143-72-4899,10.083365,79.6811315
30,C_30,I,A,USD,false,1,0,1000000,55751.12,,bank,William,Mcdaniel,77857 Scott Divide Suite 093,West Thomastown,PR,US,69553,Male,1919-08-21,760-86-6474,-176.551436,6.979910
31,C_31,I,A,USD,false,1,0,1000000,70795.70,,bank,Jennifer,Prince,4329 Lee Mews,Moranfurt,GA,US,43845,Female,1960-09-08,459-91-2417,101.407260,-5.155150
32,C_32,I,A,USD,false,1,0,1000000,63029.65,,bank,Amber,Price,5667 Blair Underpass,South Shelby,OR,US,93561,Female,1937-05-06,087-24-5958,-149.403469,81.2815855
33,C_33,I,A,USD,false,1,0,1000000,59443.26,,bank,Troy,Spears,491 Wise Knoll,Ellishaven,TN,US,85502,Male,2018-07-20,595-59-8032,-43.230948,37.6819875
34,C_34,I,A,USD,false,1,0,1000000,61343.35,,bank,Gina,Garcia,00250 Pena Dam Apt. 639,Grantbury,NH,US,25778,Female,2012-08-09,814-41-5291,107.709743,32.3379515
35,C_35,I,A,USD,false,1,0,1000000,90007.30,,bank,Adam,Simpson,4486 Olson Well,North Kevin,OH,US,09982,Male,1961-01-11,829-53-8087,67.235323,28.140754
36,C_36,I,A,USD,false,1,0,1000000,89970.50,,bank,Daniel,Pittman,12637 Lisa Points,Williamsburgh,IA,US,64728,Male,1942-07-24,361-41-7125,-122.401603,59.5330615
37,C_37,I,A,USD,false,1,0,1000000,79124.72,,bank,Bryan,Brewer,19126 Jeffery Street,Lake Amandachester,PR,US,07024,Male,1923-11-30,755-73-5881,-56.754465,56.736886
38,C_38,I,A,USD,true,1,0,1000000,72121.69,,bank,Breanna,Smith,318 Leonard Fort,Courtneyport,OR,US,22964,Female,1968-10-04,376-75-0415,-110.301885,16.1879275
39,C_39,I,A,USD,false,1,0,1000000,72442.82,,bank,Peter,Gomez,123 Hudson Square,East Jessica,GU,US,31131,Male,1978-10-04,645-64-1770,150.721485,-83.0167975
40,C_40,I,A,USD,false,1,0,1000000,70798.81,,bank,Roberto,Floyd,7403 Donna Park Suite 851,Derrickfurt,VT,US,25544,Male,1954-10-02,061-27-0628,-10.801206,-22.996103
41,C_41,I,A,USD,false,1,0,1000000,97577.93,,bank,Alexandria,Dougherty,345 Kevin Knolls Apt. 250,Burtontown,IA,US,06394,Female,1948-02-03,841-08-5652,176.469204,23.4550235
42,C_42,I,A,USD,false,1,0,1000000,53933.01,,bank,Joseph,Ballard,6254 Debra Stream,Reyeschester,MH,US,35070,Male,2023-12-14,722-60-0688,123.186285,-57.091031
43,C_43,I,A,USD,false,1,0,1000000,98240.77,,bank,Brian,Fuller,08298 Christopher Freeway Apt. 302,Lake Christian,VI,US,78866,Male,1992-07-27,630-78-0657,-44.454654,1.335247
44,C_44,I,A,USD,false,1,0,1000000,63653.33,,bank,Kerri,Roberts,07154 Stephen Parkways Suite 265,Lindafurt,AL,US,41233,Female,1964-08-04,036-99-8713,126.284477,58.2019905
45,C_45,I,A,USD,false,1,0,1000000,75736.41,,bank,Whitney,Gill,6165 Williams Groves,West Erinshire,UT,US,38482,Female,1998-08-29,529-44-6326,-45.442017,-33.905114
46,C_46,I,A,USD,false,1,0,1000000,68646.01,,bank,Frank,Patton,98522 Mathis Viaduct Apt. 909,West Michael,SC,US,38960,Male,1979-11-18,175-01-2307,125.266283,-78.295844
47,C_47,I,A,USD,false,1,0,1000000,50687.14,,bank,Rebecca,Jacobs,74931 Ramirez Village Apt. 821,New Daniel,NY,US,83355,Female,1997-10-01,273-40-4669,-172.679702,25.0792575
48,C_48,I,A,USD,false,1,0,1000000,86651.57,,bank,James,Marshall,8885 Lee Tunnel Suite 208,Port Donna,WY,US,74331,Male,1914-06-01,422-82-3741,-171.575400,7.233342
49,C_49,I,A,USD,true,1,0,1000000,89135.94,,bank,Blake,West,357 Jessica Gateway,West Jacob,WV,US,55548,Male,1996-07-04,461-66-1646,-78.918258,-45.846127
50,C_50,I,A,USD,false,1,0,1000000,72213.16,,bank,Dale,Sanders,6446 Lynch Course,Anthonytown,WV,US,33342,Male,1960-09-23,651-81-6378,-159.374903,66.414446
51,C_51,I,A,USD,false,1,0,1000000,60511.57,,bank,Heather,Jones,450 Wells Pike,North Christopher,VI,US,46039,Female,1993-05-27,688-70-7719,-156.850040,-5.5683955
52,C_52,I,A,USD,false,1,0,1000000,63002.92,,bank,Robert,Miller,22708 Madison Spurs,Herringstad,AS,US,77293,Male,1930-06-07,272-26-4276,-3.939541,-21.8490785
53,C_53,I,A,USD,true,1,0,1000000,62749.07,,bank,Gene,Rios,78209 Darlene Bypass Suite 137,Port Stephen,GA,US,93500,Male,1965-06-21,570-08-8904,-135.752957,48.9611645
54,C_54,I,A,USD,false,1,0,1000000,98105.52,,bank,Tammy,White,69597 Bass Passage,Vanessaville,DC,US,42036,Female,1924-09-16,346-78-3168,-156.302783,21.0883325
55,C_55,I,A,USD,true,1,0,1000000,84735.69,,bank,Andre,Lang,0925 Ricky Mill Suite 994,Annamouth,MT,US,24181,Male,1932-04-18,397-09-5860,-128.296526,-56.8842915
56,C_56,I,A,USD,false,1,0,1000000,68179.88,,bank,Jose,Copeland,69057 Alvarez Walks,New Michelleview,AK,US,85435,Male,1919-06-28,368-13-7724,-162.246916,-48.5879665
57,C_57,I,A,USD,false,1,0,1000000,74652.77,,bank,Gary,Burch,395 Timothy Road,Williamsbury,SC,US,37407,Male,1951-01-15,168-54-7585,15.037922,61.768246
58,C_58,I,A,USD,false,1,0,1000000,97111.38,,bank,Charles,Hernandez,90622 Anthony Islands,North Brandonville,OK,US,80648,Male,2001-06-22,807-04-6861,54.217435,62.4831025
59,C_59,I,A,USD,false,1,0,1000000,51067.89,,bank,Alison,Carr,66376 Sabrina Garden Suite 691,Whitneyhaven,MN,US,71586,Female,1965-03-31,243-36-0661,148.010174,-3.679148
60,C_60,I,A,USD,false,1,0,1000000,84707.30,,bank,John,Moore,180 Jennifer Burg Suite 661,Munozburgh,GA,US,45130,Male,2016-09-25,886-37-8251,-119.593624,8.860074
61,C_61,I,A,USD,false,1,0,1000000,55069.67,,bank,Nicholas,Reed,8034 Jennifer Islands Suite 604,Johnsonchester,KY,US,49674,Male,1925-07-12,628-46-2716,-163.235767,25.582253
62,C_62,I,A,USD,true,1,0,1000000,83732.75,,bank,Melinda,Lang,16882 Eric Expressway Apt. 082,Kellyport,VT,US,44432,Female,2016-03-27,859-53-4289,-95.002763,1.932063
63,C_63,I,A,USD,false,1,0,1000000,76407.42,,bank,Michael,Moore,268 Young Lane Suite 678,Tamichester,GU,US,13308,Male,1910-10-08,610-82-8473,-122.654707,83.7732945
64,C_64,I,A,USD,false,1,0,1000000,50082.14,,bank,Michael,Estrada,9261 Alex Lake,Floresmouth,MN,US,77080,Male,2004-05-26,235-21-9202,116.154583,-69.079963
65,C_65,I,A,USD,false,1,0,1000000,52517.33,,bank,Christopher,Alexander,28693 Erickson Lodge,Andrewberg,PW,US,51385,Male,1916-06-03,385-12-9638,37.533795,-0.2008135
66,C_66,I,A,USD,false,1,0,1000000,90804.48,,bank,Victor,Mendoza,79148 Pierce Lock Suite 423,Erikberg,NH,US,09524,Male,1975-11-13,420-72-1512,-37.446505,39.464255
67,C_67,I,A,USD,false,1,0,1000000,67761.01,,bank,Melissa,Guzman,2512 Mackenzie Dam,North Antonio,MO,US,73675,Female,1993-01-13,110-61-9168,6.444823,2.0855595
68,C_68,I,A,USD,false,1,0,1000000,81377.43,,bank,Courtney,Richardson,37443 Tyler Pass,Christopherport,OK,US,55851,Female,1954-05-31,777-19-3796,-25.433396,-36.497695
69,C_69,I,A,USD,false,1,0,1000000,50567.74,,bank,Jeffrey,Howard,546 Mariah Crest Suite 587,Lake Jenna,SC,US,47523,Male,1956-09-12,785-92-4639,-123.473597,38.7758685
70,C_70,I,A,USD,false,1,0,1000000,89530.07,,bank,Samantha,Reynolds,8799 Emma Parkway Suite 735,North Thomasfurt,MH,US,30303,Female,1915-11-03,790-06-6661,-129.814276,-19.2772805
71,C_71,I,A,USD,false,1,0,1000000,50369.88,,bank,Kelly,Howell,12503 Alan Place Apt. 219,North Joyce,ID,US,00696,Female,1958-05-12,550-23-3839,-58.157297,21.514800
72,C_72,I,A,USD,false,1,0,1000000,94290.68,,bank,Kyle,Davis,3609 Johnson Key,Margaretmouth,SD,US,18114,Male,2019-11-03,732-14-4471,-167.044369,-51.909753
73,C_73,I,A,USD,false,1,0,1000000,95321.99,,bank,John,Gibson,3953 Romero Crest,Lake Rhondaville,NY,US,59180,Male,1949-08-13,427-33-6181,-137.828846,61.661454
74,C_74,I,A,USD,false,1,0,1000000,85691.61,,bank,Daisy,Woods,3576 Sergio Avenue,Benjaminmouth,IN,US,56794,Female,1926-07-21,452-37-5898,170.734311,40.509401
75,C_75,I,A,USD,false,1,0,1000000,90906.82,,bank,Jeanette,Lopez,134 Sophia Drives,Benjaminburgh,WI,US,61921,Female,1967-09-30,172-51-0773,1.979785,49.8312565
76,C_76,I,A,USD,false,1,0,1000000,53369.68,,bank,Sarah,Peters,88996 Cynthia River Suite 939,Johnsonfort,MH,US,79664,Female,1932-12-23,045-08-2199,-49.621046,28.975768
77,C_77,I,A,USD,false,1,0,1000000,95122.21,,bank,Ryan,Robbins,186 Mcclure Junction,Jenningsburgh,MN,US,73556,Male,1955-07-14,680-41-7678,-143.856122,-50.651445
78,C_78,I,A,USD,false,1,0,1000000,95387.76,,bank,Joshua,Schultz,67835 Andrew Fords,Port Robertshire,VI,US,54423,Male,2021-08-21,685-18-8698,165.191225,41.455235
79,C_79,I,A,USD,false,1,0,1000000,93633.26,,bank,Holly,Owens,97036 Collins Summit,Port Lindseytown,OR,US,67694,Female,1922-12-24,458-36-3597,25.469825,13.0956685
