birthPlaceCountry,countryofResidency,deathTime,firstName,isActive,lastName,legalName,listedCompany,maritalStatus,middleName,name,nameAlias,nationality,occupation,organizationSymbol,partyId,partyType,sourceOfIncome,title,website,gender,homePhone,alternatePhone,cellPhone,primaryPhone,workPhone,alternateEmail,companyEmail,personalEmail,workEmail,isIndividual
US,US,,,1,,,,,,,,US,,,3,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,6,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,9,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,10,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,16,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,18,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,19,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,20,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,21,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,23,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,24,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,25,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,26,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,27,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,29,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,34,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,38,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,41,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,44,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,62,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,65,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,66,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,68,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,72,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,78,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,80,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,81,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,83,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,84,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,90,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,92,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,94,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,96,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,98,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,99,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,100,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,101,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,107,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,111,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,112,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,115,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,117,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,118,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,119,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,121,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,122,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,129,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,130,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,137,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,138,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,141,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,142,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,146,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,147,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,148,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,149,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,155,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,156,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,158,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,159,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,160,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,163,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,165,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,166,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,169,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,170,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,171,Individual,,,,,,,,,,,,,,
